name,mse_x,mse_y,mse_all,maxae_x,maxae_y,train_seconds
FNN_64x6__Nd500__Nb2,0.0010929650338590668,0.0003436880794409156,0.0007183265566499912,0.158477341801601,0.0811145401834546,627.639814376831
FNN_64x6__Nd3000__Nb2,0.07295959853765516,0.03729367673390602,0.05512663763578059,1.0278990327030761,0.658318087882735,583.8726468086243
FNN_64x6__Nd10000__Nb2,0.07728036352210149,0.03958524463096713,0.05843280407653432,1.0941996632725342,0.6577601511547344,651.9558892250061
FNN_64x6__Nd3000__Nb10,0.07124955283829408,0.03669178873640429,0.05397067078734918,1.0058376847416504,0.6584449340173977,604.5286178588867
FNN_128x3__Nd500__Nb2,0.18067796860666577,0.08802625044180779,0.13435210952423676,1.586301357940659,0.8607941777934146,695.9572875499725
FNN_128x3__Nd3000__Nb2,0.0011093516957274196,0.0003473015375218759,0.0007283266166246479,0.1601580139703327,0.0810079670785962,551.5735876560211
FNN_128x3__Nd10000__Nb2,0.11817650781307325,0.07588554289416181,0.09703102535361753,0.936371998884461,0.6674625430772083,555.3436260223389
FNN_128x3__Nd3000__Nb10,0.0008969855721239185,0.00028189884417665923,0.0005894422081502888,0.14443484512038762,0.07344729670277222,574.2921748161316
FNN_32x10__Nd500__Nb2,0.0953909184816548,0.06164682415788464,0.07851887131976971,0.9251612225437132,0.6628767148728113,820.4189450740814
FNN_32x10__Nd3000__Nb2,0.0010401742757463052,0.0003266623392570613,0.0006834183075016833,0.15511283841796453,0.0791115260957776,813.0450451374054
FNN_32x10__Nd10000__Nb2,0.0009784028259437036,0.0003070746925572698,0.0006427387592504867,0.15065554347701604,0.07670868405094727,868.7472114562988
FNN_32x10__Nd3000__Nb10,0.11643918262411945,0.075880914372742,0.09616004849843073,0.9363942314169622,0.6673670340845363,683.9888560771942
FNN_64x6_silu__Nd500__Nb2,0.0010777818094451217,0.0003389619049285788,0.0007083718571868502,0.15745494332976873,0.08043361672154054,697.4505014419556
FNN_64x6_silu__Nd3000__Nb2,0.0009988000451239664,0.000313678240506405,0.0006562391428151857,0.1520287152833515,0.07749743231526002,752.282897233963
FNN_64x6_silu__Nd10000__Nb2,0.001035436151069126,0.00032533106837900595,0.000680383609724066,0.15470788446136052,0.07888037928333863,1056.5456192493439
FNN_64x6_silu__Nd3000__Nb10,0.0010320147583441318,0.0003237143858458854,0.0006778645720950085,0.15455225673385198,0.07872433432331666,715.854630947113
